gene set	NES	p-value
MAP00480_Glutathione_metabolism	 -1.84	 0.0040404
DNA_DAMAGE_SIGNALLING	 1.83	 0.0020080
MAP00193_ATP_synthesis	 -1.82	 0.0020040
MAP00195_Photosynthesis	 -1.82	 0.0020040
MAP03070_Type_III_secretion_system	 -1.82	 0.0020040
Cell_Cycle	 1.74	 0.0294695
ANTI_CD44_UP	 -1.74	 0.0038835
ST_Ga13_Pathway	 -1.73	 0.0100000
CR_CELL_CYCLE	 1.72	 0.0187891
cell_cycle_checkpointII	 1.71	 0.0040161
compPathway	 -1.71	 0.0103950
il10Pathway	 -1.71	 0.0117188
cell2cellPathway	 -1.70	 0.0080321
stemPathway	 -1.68	 0.0180000
g2Pathway	 1.67	 0.0121951
MAP00600_Sphingoglycolipid_metabolism	 -1.67	 0.0235756
ST_Gaq_Pathway	 -1.67	 0.0292887
neutrophilPathway	 -1.67	 0.0061475
MAP00530_Aminosugars_metabolism	 -1.66	 0.0098039
MAP00531_Glycosaminoglycan_degradation	 -1.65	 0.0214425
HOXA9_DOWN	 -1.64	 0.0242424
rbPathway	 1.64	 0.0258964
mRNA_splicing	 1.63	 0.0340000
SA_MMP_CYTOKINE_CONNECTION	 -1.63	 0.0345528
tsp1Pathway	 -1.62	 0.0234834
MAP00910_Nitrogen_metabolism	 -1.62	 0.0133333
Proteasome_Degradation	 1.61	 0.0361446
cell_adhesion	 -1.60	 0.0082645
KRAS_TOP100_KNOCKDOWN	 -1.60	 0.0206612
cell_adhesion_molecule_activity	 -1.59	 0.0329897
ROS	 -1.59	 0.0380762
MAP_kinase_kinase_activity	 -1.59	 0.0154739
p53Pathway	 1.59	 0.0334646
GO_ROS	 -1.59	 0.0384615
MAP00680_Methane_metabolism	 -1.58	 0.0282258
alternativePathway	 -1.58	 0.0272537
Matrix_Metalloproteinases	 -1.58	 0.0399160
NFKB_REDUCED	 -1.57	 0.0384615
il1rPathway	 -1.57	 0.0522088
tertPathway	 1.57	 0.0495238
MAP00603_Globoside_metabolism	 -1.57	 0.0327198
DOWNREG_BY_HOXA9	 -1.57	 0.0376984
tollPathway	 -1.56	 0.0434783
eif2Pathway	 1.56	 0.0220884
integrinPathway	 -1.56	 0.0354167
CR_REPAIR	 1.56	 0.0440252
arfPathway	 1.56	 0.0318725
41bbPathway	 -1.55	 0.0490196
extrinsicPathway	 -1.55	 0.0414938
monocytePathway	 -1.53	 0.0680934
reckPathway	 -1.53	 0.0609244
il6Pathway	 -1.53	 0.0544355
cell_motility	 -1.52	 0.0418327
fbw7Pathway	 1.52	 0.0575397
HTERT_DOWN	 -1.52	 0.0257937
radiation_sensitivity	 1.51	 0.0458167
eosinophilsPathway	 -1.51	 0.0457256
Pentose_Phosphate_Pathway	 -1.51	 0.0358566
ranklPathway	 -1.51	 0.0492813
pgc1aPathway	 1.51	 0.0487805
telPathway	 1.51	 0.0544747
MAP00380_Tryptophan_metabolism	 -1.50	 0.0518234
cell_adhesion_receptor_activity	 -1.50	 0.0609756
mspPathway	 -1.50	 0.0383142
tnfr2Pathway	 -1.50	 0.0616570
S1P_Signaling	 -1.49	 0.0649087
pepiPathway	 -1.49	 0.0433071
classicPathway	 -1.49	 0.0384615
stressPathway	 -1.49	 0.0520833
mRNA_processing	 1.49	 0.0944882
il5Pathway	 -1.49	 0.0775348
MAP00230_Purine_metabolism	 1.48	 0.0524194
p27Pathway	 1.48	 0.0742188
CR_CAM	 -1.47	 0.0496894
ifngPathway	 -1.47	 0.0719697
ADULT_LIVER_vs_FETAL_LIVER_GNF2	 -1.47	 0.0484848
cell_cycle_checkpoint	 1.47	 0.0761317
freePathway	 -1.46	 0.0740000
ldlPathway	 -1.46	 0.0561331
cdc25Pathway	 1.45	 0.0941884
lymphocytePathway	 -1.45	 0.1214575
MAP00970_Aminoacyl_tRNA_biosynthesis	 1.45	 0.0717054
lairPathway	 -1.45	 0.0717131
EMT_DOWN	 -1.45	 0.0752033
th1th2Pathway	 -1.44	 0.0898204
Eicosanoid_Synthesis	 -1.44	 0.0896414
pentosePathway	 -1.44	 0.0408163
plk3Pathway	 1.43	 0.0622490
MAP00340_Histidine_metabolism	 -1.43	 0.0912779
ST_G_alpha_i_Pathway_	 -1.43	 0.0756646
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	 1.43	 0.0803922
AR_MOUSE	 1.43	 0.0803922
GLYCOL	 -1.42	 0.1111111
atrbrcaPathway	 1.42	 0.1230469
il18Pathway	 -1.42	 0.0979167
krebPathway	 1.41	 0.1007905
MAP00860_Porphyrin_and_chlorophyll_metabolism	 -1.40	 0.1643002
bcl2family_and_reg_network	 -1.40	 0.1026157
mitochondriaPathway	 1.39	 0.0936902
setPathway	 1.39	 0.1029703
ANDROGEN_UP_GENES	 -1.39	 0.0854167
etcPathway	 1.39	 0.1053719
tercPathway	 1.39	 0.1250000
ST_Tumor_Necrosis_Factor_Pathway	 -1.38	 0.1216216
HOX_LIST_JP	 -1.38	 0.1348089
dcPathway	 -1.38	 0.1164659
blymphocytePathway	 -1.38	 0.1337325
cytokinePathway	 -1.38	 0.1177645
inflamPathway	 -1.38	 0.1037344
erythPathway	 -1.37	 0.1126761
MAP00620_Pyruvate_metabolism	 1.36	 0.1088296
tcraPathway	 1.36	 0.2051793
tumor_supressor	 1.36	 0.1100386
proteasomePathway	 1.36	 0.1707317
GLUT_DOWN	 1.36	 0.1745098
CR_TRANSPORT_OF_VESICLES	 -1.36	 0.1460446
MAP00240_Pyrimidine_metabolism	 1.35	 0.1646586
tRNA_Synthetases	 1.35	 0.1196078
mcalpainPathway	 -1.35	 0.1226994
mitrPathway	 1.35	 0.1022044
il7Pathway	 1.35	 0.1539961
MAP00252_Alanine_and_aspartate_metabolism	 1.34	 0.1247525
